idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,parties_direct,parties_indirect,values_direct,values_indirect,reason_direct,reason_indirect,values_names,values_types,wvs,mft,virtue,emotion,maslow,background,topic,topic_group
6347,helping people out with things they don't know how to do.,"As a computer technician, I often help people with their hardware and software issues. During a service call, I notice a client's computer has illegal content stored. Should I report this to the authorities even though it would breach their privacy?",to_do,Report the illegal content,"Reporting the illegal content leads to the arrest of the client, tarnishing your reputation as a technician. Future clients become wary of your services, fearing their privacy might be violated. Your business struggles and you lose your livelihood.","['Computer Technician', 'Client']","['Future clients', 'Law enforcement']","['Integrity', 'Accountability']","['Trust', 'Justice']","['The technician is maintaining honesty by reporting illegal activities.', 'The client is held accountable for their actions.']","[""This action may lead future clients to question the technician's respect of their privacy."", 'Law enforcement is expected to uphold justice when illegal activities are reported.']","['integrity', 'accountability', 'trust', 'justice']","['direct', 'direct', 'indirect', 'indirect']","[nan, 'Secular-rational', 'Survival', nan]","['Fairness', 'Fairness', 'Loyalty', 'Fairness']","[nan, nan, nan, nan]","['trust', nan, 'trust', nan]","['self-esteem', 'self-esteem', 'love and belonging', 'safety']","a computer technician, I often help people with their hardware and software issues",45,workplace
6347,helping people out with things they don't know how to do.,"As a computer technician, I often help people with their hardware and software issues. During a service call, I notice a client's computer has illegal content stored. Should I report this to the authorities even though it would breach their privacy?",not_to_do,Not report the illegal content,"Choosing not to report, the client continues their illegal activities and eventually gets caught by the authorities. During investigation, your service records are discovered and you're implicated for withholding information, facing legal consequences.","['Computer Technician', 'Client']","['Law enforcement', 'Victims of the illegal content']","['Confidentiality', 'Privacy']","['Justice', 'Safety']","[""The technician is upholding the client's privacy by not reporting."", ""The client's private information is protected, maintaining their right to privacy.""]","['Law enforcement may feel compromised if they discover the technician withheld critical information.', ""The victims' safety is at risk if the illegal activities continue.""]","['confidentiality', 'privacy', 'justice', 'safety']","['direct', 'direct', 'indirect', 'indirect']","[nan, 'Secular-rational', nan, 'Survival']","['Authority', nan, 'Fairness', 'Care']","[nan, nan, nan, nan]","['trust', nan, nan, 'trust']","['safety', 'safety', 'safety', 'safety']","a computer technician, I often help people with their hardware and software issues",45,workplace
6374,being involved in a deadly bar fight.,"While attempting to break up a deadly bar fight, you notice one of the participants is your estranged brother. He's about to strike an unsuspecting victim with a broken bottle, potentially causing serious harm or death. Do you stop your brother, potentially causing him legal trouble, or let him carry on, risking the other person's life?",to_do,Intervene,"You jump into the fray, pulling your brother away from the victim. The police arrive and arrest your brother for assault with a deadly weapon. He's charged and sentenced to jail, blaming you for his fate. Your relationship is further strained.","['You', 'Your Brother', 'The Victim']","['Police', 'Family Members', 'Legal System']","['Courage', 'Accountability', 'Right to Safety']","['Upholding Justice', 'Love', 'Fairness']","['You demonstrate bravery by stepping into a dangerous situation to protect someone.', 'He must face the consequences of his violent actions.', 'Everyone deserves to be safe from harm, and you uphold this by intervening.']","['Their duty is to enforce the law and ensure safety.', 'They care deeply about both you and your brother, despite the circumstances.', 'It ensures everyone is held accountable for their actions.']","['courage', 'accountability', 'right to safety', 'upholding justice', 'love', 'fairness']","['direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect']","[nan, 'Secular-rational', 'Survival', 'Self-expression', nan, 'Secular-rational']","[nan, 'Fairness', 'Fairness', 'Fairness', 'Care', 'Fairness']","['Courage', nan, nan, nan, nan, nan]","[nan, nan, 'trust', 'trust', 'love', 'trust']","['self-esteem', 'self-esteem', 'safety', 'safety', 'love and belonging', 'self-esteem']","attempting to break up a deadly bar fight, you notice one of the participants is your estranged brother",31,issue_crime_addiction
6374,being involved in a deadly bar fight.,"While attempting to break up a deadly bar fight, you notice one of the participants is your estranged brother. He's about to strike an unsuspecting victim with a broken bottle, potentially causing serious harm or death. Do you stop your brother, potentially causing him legal trouble, or let him carry on, risking the other person's life?",not_to_do,Don't Intervene,"You decide not to intervene, fearing the aftermath. The victim is seriously injured, even dying from the inflicted harm. You're wracked with guilt, knowing you could have prevented it. You're also legally implicated for watching a crime and doing nothing.","['You', 'Your Brother', 'The Victim']","['Police', ""The Victim's Family"", 'Legal System']","['Self', 'Freedom', 'Vulnerability']","['Failed Duty', 'Suffering', 'Flawed Justice']","['Preservation', 'He continues his violent actions without immediate consequences.', 'The victim is left defenseless and suffers harm.']","['They were unable to prevent the crime from happening.', 'They endure the pain and loss of their loved one.', ""It failed to prevent a crime, leading to the victim's suffering.""]","['self', 'freedom', 'vulnerability', 'suffering']","['direct', 'direct', 'direct', 'indirect']","[nan, 'Self-expression', 'Survival', nan]","[nan, 'Fairness', 'Care', 'Care']","[nan, nan, nan, nan]","[nan, nan, nan, 'sadness']","['self-esteem', 'safety', 'safety', nan]","attempting to break up a deadly bar fight, you notice one of the participants is your estranged brother",31,issue_crime_addiction
6420,finding your passion.,"You have recently discovered a passion for painting, but you are currently in a stable, high-paying job. However, pursuing this passion would mean leaving your job and potentially struggling financially. Do you quit your job and pursue your passion, risking financial instability, or do you continue with your current job, sacrificing your newfound passion?",to_do,Quitting Job to Pursue Painting,"You quit your job, pouring everything into painting. However, financial struggle sets in as your art doesn't sell as expected. The stress of money problems heavily impacts your creativity and passion.","['You', 'Your employer']","['Family members', 'Potential art buyers, landlords, or loan institutions']","['Fulfillment', 'Honesty']","['Support', 'Trust']","['You are pursuing your passion and doing what you love.', 'You have been transparent about your reasons for leaving.']","['They provide emotional and possibly financial support during your transition.', 'You rely on their trust to support your art and pay your bills.']","['honesty', 'support', 'trust']","['direct', 'indirect', 'indirect']","[nan, nan, 'Survival']","['Fairness', 'Care', 'Loyalty']","['Truthfulness', nan, nan]","['trust', 'trust', 'trust']","['self-esteem', 'love and belonging', 'love and belonging']","have recently discovered a passion for painting, but you are currently in a stable, high-paying job",39,issue_personal_career
6420,finding your passion.,"You have recently discovered a passion for painting, but you are currently in a stable, high-paying job. However, pursuing this passion would mean leaving your job and potentially struggling financially. Do you quit your job and pursue your passion, risking financial instability, or do you continue with your current job, sacrificing your newfound passion?",not_to_do,Continuing with Current Job,"You stay in your job, suppressing your passion for painting due to financial stability. Over time, you feel increasingly unfulfilled and unhappy, the stress from work begins to affect your health and personal relationships.","['You', 'Your employer']","['Family members', 'Colleagues, potential art community you may never join']","['Stability', 'Commitment']","['Security', 'Respect']","['You keep your secure job and income.', 'You are showing commitment to your job by staying.']","['Your stable job provides financial security for your family.', 'You respect your professional commitments and avoid the uncertainty of the art world.']","['stability', 'commitment', 'security', 'respect']","['direct', 'direct', 'indirect', 'indirect']","['Survival', 'Traditional', 'Survival', 'Self-expression']","['Authority', 'Loyalty', 'Authority', 'Authority']","[nan, nan, nan, nan]","['trust', 'trust', 'trust', 'trust']","['safety', 'self-esteem', 'safety', 'self-esteem']","have recently discovered a passion for painting, but you are currently in a stable, high-paying job",39,issue_personal_career
6452,being offended if someone walks out in the middle of a service.,"You are the pastor of a small community church. During your sermon, a member of the congregation gets up and leaves abruptly, visibly upset. Should you stop your sermon to address the situation, potentially disrupting the service, or continue preaching, possibly ignoring someone's distress?",to_do,Stop the sermon to address the situation,"You halt your sermon, causing a ripple of confusion among the congregation. The member, already embarrassed, feels even more spotlighted and leaves the church, vowing never to return. The disruption causes whispers and speculation that distracts from the spiritual message.","['You (the Pastor)', 'You (the Pastor)', 'The upset member', 'The upset member']","['Other congregation members', 'Other congregation members', ""The upset member's family and friends"", ""The upset member's family and friends""]","['responsibility', 'empathy', 'dignity', 'respect']","['patience', 'understanding', 'concern', 'compassion']","['You feel obligated to ensure the well', 'You understand and share the feelings of the upset member.', 'They deserve to be treated with respect and understanding.', 'They deserve to have their feelings acknowledged.']","['They need to tolerate the interruption in the service.', ""They need to empathize with the upset member's situation."", ""They worry about the upset member's well"", ""They sympathize with the upset member's distress.""]","['responsibility', 'empathy', 'dignity', 'respect', 'patience', 'understanding', 'concern', 'compassion']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","['Traditional', 'Self-expression', nan, 'Self-expression', nan, nan, nan, 'Self-expression']","['Authority', 'Care', 'Fairness', 'Authority', nan, 'Care', 'Care', 'Care']","[nan, nan, nan, nan, 'Patience', nan, nan, nan]","[nan, nan, nan, 'trust', 'anticipation', 'trust', 'fear', nan]","['self-esteem', 'love and belonging', 'self-esteem', 'self-esteem', nan, 'self-actualization', 'safety', 'self-actualization']",are the pastor of a small community church,13,religion_custom
6452,being offended if someone walks out in the middle of a service.,"You are the pastor of a small community church. During your sermon, a member of the congregation gets up and leaves abruptly, visibly upset. Should you stop your sermon to address the situation, potentially disrupting the service, or continue preaching, possibly ignoring someone's distress?",not_to_do,Continue preaching,"You carry on with your sermon, ignoring the distressed member. Later, you learn that the member was deeply hurt by your apparent indifference. The member's family and friends leave the church, causing a rift in the community.","['You (the Pastor)', 'You (the Pastor)', 'The upset member', 'The upset member']","['Other congregation members', 'Other congregation members', ""The upset member's family and friends"", ""The upset member's family and friends""]","['dedication', 'professionalism', 'resilience', 'forgiveness']","['attentiveness', 'focus', 'loyalty', 'empathy']","['You are committed to delivering your sermon without interruption.', ""You maintain the flow of the service despite the upset member's departure."", 'They need to cope with their distress without immediate support.', 'They need to forgive your decision to continue the sermon.']","[""They need to stay focused on the sermon despite the upset member's departure."", 'They need to concentrate on the spiritual message.', 'They stand by the upset member despite your decision.', ""They understand the upset member's feelings.""]","['dedication', 'professionalism', 'resilience', 'forgiveness', 'loyalty', 'empathy']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect']","[nan, nan, 'Survival', 'Traditional', 'Traditional', 'Self-expression']","['Loyalty', 'Authority', nan, 'Care', 'Loyalty', 'Care']","[nan, nan, nan, nan, nan, nan]","['anticipation', nan, nan, 'trust', 'trust', nan]","['self-esteem', 'self-esteem', 'self-esteem', nan, 'love and belonging', 'love and belonging']",are the pastor of a small community church,13,religion_custom
6465,being distracted by a loud tv.,Alice is a college student who shares her dorm room with another student who often watches TV at a loud volume. Alice needs to study for her final exams but she doesn't want to upset her roommate by asking her to turn down the TV. Should Alice sacrifice her study time or risk a fight by asking her roommate to lower the TV volume?,to_do,Asking her roommate to lower the volume,"Alice gathers her courage and asks her roommate to lower the volume. The roommate takes offense and an argument ensues, leading to a tense atmosphere in the room, making it even harder for Alice to concentrate on her studies.","['Alice', 'Roommate']","['Other students in the dorm', 'Professor']","['Assertiveness', 'Respect for others']","['Respect for shared spaces', 'Fair evaluation']","['she stood up for her right to a conducive study environment.', ""she needs to consider Alice's need to study.""]","['the noise could disturb others as well.', 'they need to ensure that Alice gets a fair chance to prepare for the exam.']","['assertiveness', 'respect for others']","['direct', 'direct']","['Self-expression', 'Self-expression']","['Authority', 'Care']","[nan, nan]","[nan, 'trust']","['self-esteem', 'self-esteem']",is a college student who shares her dorm room with another student who often watches TV at a loud volume,5,close_relationship
6465,being distracted by a loud tv.,Alice is a college student who shares her dorm room with another student who often watches TV at a loud volume. Alice needs to study for her final exams but she doesn't want to upset her roommate by asking her to turn down the TV. Should Alice sacrifice her study time or risk a fight by asking her roommate to lower the TV volume?,not_to_do,Not asking her roommate to lower the volume,"Alice decides to not say anything to avoid conflict. As a result, she can't focus on her studies due to the loud TV volume. She performs poorly on her final exams which affects her overall grades.","['Alice', 'Roommate']","[""Alice's parents"", 'Professor']","['Tolerance', 'Self']","[""Concern for daughter's education"", 'Fair evaluation']","['she decided to bear the noise rather than confront her roommate.', 'centeredness']","['they want Alice to do well in her exams.', 'they must provide equal opportunity for all students to perform their best.']","['tolerance', 'self']","['direct', 'direct']","['Self-expression', nan]","['Fairness', nan]","[nan, nan]","['trust', nan]","['self-actualization', 'self-esteem']",is a college student who shares her dorm room with another student who often watches TV at a loud volume,5,close_relationship
6484,having unrealistic expectations for your physical appearance.,"Sarah is a teenager heavily influenced by social media trends and beauty standards. She is considering undergoing cosmetic surgery to meet these standards, even though she knows the risks. Should Sarah risk her health and go through the surgery just to meet society's beauty standards?",to_do,Undergo Cosmetic Surgery,"Sarah underwent the cosmetic surgery but suffered severe side effects. She had to face physical discomfort, high medical bills, and long-term health issues. Instead of boosting her confidence, the surgery left her with regret and self-loathing, damaging her body and mental health.","['Sarah', 'Cosmetic Surgeon']","[""Sarah's Family"", 'Social Media Followers']","['Autonomy', 'Professionalism']","['Love', 'Respect']","['Sarah is exercising her right to make decisions about her body.', 'The surgeon, by performing the surgery, is adhering to his professional duties.']","[""The family might support Sarah's decision out of love and desire for her happiness."", ""Followers should respect Sarah's decision, as it is her personal choice.""]","['autonomy', 'professionalism', 'love', 'respect']","['direct', 'direct', 'indirect', 'indirect']","['Self-expression', nan, nan, 'Self-expression']","['Fairness', 'Authority', 'Care', 'Authority']","[nan, nan, nan, nan]","[nan, nan, 'love', 'trust']","['self-esteem', 'self-esteem', 'love and belonging', 'self-esteem']",is a teenager heavily influenced by social media trends and beauty standards,29,issue_self_image_social
6484,having unrealistic expectations for your physical appearance.,"Sarah is a teenager heavily influenced by social media trends and beauty standards. She is considering undergoing cosmetic surgery to meet these standards, even though she knows the risks. Should Sarah risk her health and go through the surgery just to meet society's beauty standards?",not_to_do,Not Undergo Cosmetic Surgery,"Sarah chose not to undergo surgery. Initially, she felt left out, as her friends flaunted their perfect looks on social media. But over time, she realized she was saving herself from unnecessary health risks. However, she struggled with self-esteem issues and faced social ridicule for not fitting into societal beauty standards.",['Sarah'],"[""Sarah's Family"", 'Social Media Followers']",['Self'],"['Love', 'Tolerance']",['Respect'],"[""The family shows love by supporting Sarah's decision to prioritize her health over societal standards."", ""Followers should show tolerance towards Sarah's choice and promote acceptance.""]","['self', 'love', 'tolerance']","['direct', 'indirect', 'indirect']","[nan, nan, 'Self-expression']","[nan, 'Care', 'Fairness']","[nan, nan, nan]","[nan, 'love', 'trust']","['self-esteem', 'love and belonging', 'self-actualization']",is a teenager heavily influenced by social media trends and beauty standards,29,issue_self_image_social
6488,being able to fix computers.,You work in a computer repair shop and you have the ability to fix computers. A customer brings in a computer that contains confidential and potentially harmful information about their company. Should you report the information to the authorities or respect the customer's privacy and fix the computer without reporting?,to_do,Report the information,"You decide to report the information to the authorities. The customer is arrested, and the news goes public. Your repair shop gains a reputation for breaching customer privacy. Business plummets as people fear their private information isn't safe with you.","['You', 'Customer', 'Authorities']","['Other customers', 'Your repair shop', 'The public']","['Honesty', 'Right to information', 'Accountability']","['Trust', 'Integrity', 'Right to security']","['You are being truthful about the information you discovered.', 'The customer should be aware of the potential consequences of their actions.', 'Authorities are accountable to investigate suspicious activities.']","['Other customers trust you to handle their devices responsibly.', 'Your repair shop upholds standards of integrity by not being complicit in potential illegal activities.', ""The public has a right to be protected from potential harm caused by the customer's company.""]","['honesty', 'right to information', 'accountability', 'trust', 'integrity']","['direct', 'direct', 'direct', 'indirect', 'indirect']","[nan, 'Self-expression', 'Secular-rational', 'Survival', nan]","['Fairness', 'Fairness', 'Fairness', 'Loyalty', 'Fairness']","['Truthfulness', 'Truthfulness', nan, nan, nan]","['trust', nan, nan, 'trust', 'trust']","['self-esteem', 'safety', 'self-esteem', 'love and belonging', 'self-esteem']",work in a computer repair shop and you have the ability to fix computers,45,workplace
6488,being able to fix computers.,You work in a computer repair shop and you have the ability to fix computers. A customer brings in a computer that contains confidential and potentially harmful information about their company. Should you report the information to the authorities or respect the customer's privacy and fix the computer without reporting?,not_to_do,Respect the customer's privacy,"You decide to respect the customer's privacy. Later, the customer's company is involved in a massive scandal that harms many innocent people. You feel guilty for not reporting when you had the chance.","['You', 'Customer']","[""The customer's company"", 'Potential victims of the scandal']","['Professional integrity', 'Right to privacy']","['Business ethics', 'Right to security']","['You respect the confidentiality of the information you come across during your work.', 'The customer has the right to have their personal information protected.']","['The company should operate in an ethical manner, not causing harm to others.', 'Potential victims have the right to be protected from harm that the scandal could cause.']","['professional integrity', 'right to privacy']","['direct', 'direct']","['Secular-rational', 'Secular-rational']","['Fairness', 'Fairness']","['Truthfulness', nan]","['trust', nan]","['self-esteem', 'safety']",work in a computer repair shop and you have the ability to fix computers,45,workplace
6519,chilling out and listening to a drum circle,"You're at a park enjoying the rhythmic sounds of a drum circle. Suddenly, you notice one of the drummers is a known local thief. Do you continue to enjoy the music or confront the person about their criminal activities?",to_do,Confront the thief,"You confront the thief, causing a scene. The peaceful drum circle is interrupted, and the thief becomes aggressive. He retaliates violently, causing physical harm and turning a peaceful gathering into a chaotic one.","['You', 'The thief']","['Other drum circle participants', 'Park visitors']","['Courage', 'Right to a fair confrontation']","['Right to continue peaceful activity', 'Right to safety and peace']","['You are showing bravery by confronting a known thief.', 'Everyone deserves the chance to answer for their actions.']","[""Their enjoyment should not be disrupted by the thief's presence."", 'They should not have to fear theft or violence in the park.']",['courage'],['direct'],[nan],[nan],['Courage'],[nan],['self-esteem'],re at a park enjoying the rhythmic sounds of a drum circle,23,friend
6519,chilling out and listening to a drum circle,"You're at a park enjoying the rhythmic sounds of a drum circle. Suddenly, you notice one of the drummers is a known local thief. Do you continue to enjoy the music or confront the person about their criminal activities?",not_to_do,Ignore the thief,"You ignore the thief and continue to enjoy the music. The thief, feeling unnoticed, steals your wallet when you are completely engrossed in the rhythm. You return home to find your wallet missing and your day ruined.","['You', 'The thief']","['Other drum circle participants', 'Potential future victims of the thief']","['Self', 'Opportunity for change']","['Right to undisturbed enjoyment', 'Right to safety and security']","['preservation', 'Ignoring his past gives him a chance to change his ways.']","['They can continue enjoying the music without disturbance.', ""Ignoring the thief might encourage further thefts, jeopardizing others' safety.""]",['self'],['direct'],[nan],[nan],[nan],[nan],['self-esteem'],re at a park enjoying the rhythmic sounds of a drum circle,23,friend
6527,being curious about how local charities operate.,"I have recently become involved in a local charity and have been tasked with overseeing their operations. During a review of their financial records, I discovered that a significant portion of the donations collected are used for administrative costs, rather than going directly to the cause. Should I expose this practice to the public, potentially damaging the charity's reputation, or should I attempt to address it internally first?",to_do,Expose the misuse of funds,"I exposed the charity's misuse of funds publicly, triggering a scandal. Donations dramatically dropped, and the charity struggled to continue its operations. Many beneficiaries suffered as a consequence, and the charity's reputation was severely tarnished.","[""Charity's board of directors"", ""Charity's staff"", 'Me']","[""Charity's beneficiaries"", 'Donors', 'Public']","['Honesty', 'Integrity', 'Courage']","['Justice', 'Trust', 'Informed']","['The board needs to be accountable for misuse of funds.', 'Staff should be transparent about how funds are used.', 'It takes bravery to expose wrongdoing.']","['Beneficiaries deserve to receive the maximum possible aid.', 'Donors should be able to trust that their money is used correctly.', ""Public has a right to know about the charity's operations.""]","['honesty', 'integrity', 'courage', 'justice', 'trust']","['direct', 'direct', 'direct', 'indirect', 'indirect']","[nan, nan, nan, nan, 'Survival']","['Fairness', 'Fairness', nan, 'Fairness', 'Loyalty']","['Truthfulness', nan, 'Courage', nan, nan]","['trust', 'trust', nan, nan, 'trust']","['self-esteem', 'self-esteem', 'self-esteem', 'safety', 'love and belonging']",I have recently become involved in a local charity and have been tasked with overseeing their operations,15,business_organization
6527,being curious about how local charities operate.,"I have recently become involved in a local charity and have been tasked with overseeing their operations. During a review of their financial records, I discovered that a significant portion of the donations collected are used for administrative costs, rather than going directly to the cause. Should I expose this practice to the public, potentially damaging the charity's reputation, or should I attempt to address it internally first?",not_to_do,Keep silent and address internally,"I decided to address the issue internally first. However, the higher-ups were resistant to change. Meanwhile, the misuse of funds continued, donors unknowingly kept contributing, and less money reached the intended beneficiaries. My silence indirectly perpetuated the problem.","[""Charity's board of directors"", ""Charity's staff"", 'Me']","[""Charity's beneficiaries"", 'Donors']","['Openness', 'Responsibility', 'Patience']","['Hope', 'Good faith']","['The board should be open to internal dialogue about improving operations.', 'Staff have a duty to address concerns before they escalate.', 'Change often requires time and diplomacy.']","[""Beneficiaries need to believe in the charity's mission."", 'Donors give in the belief their contribution is making a difference.']","['openness', 'responsibility', 'patience', 'hope']","['direct', 'direct', 'direct', 'indirect']","['Self-expression', 'Traditional', nan, nan]","[nan, 'Authority', nan, nan]","[nan, nan, 'Patience', nan]","[nan, nan, 'anticipation', 'optimism']","['self-actualization', 'self-esteem', nan, nan]",I have recently become involved in a local charity and have been tasked with overseeing their operations,15,business_organization
6595,Partners supporting each other in a relationship.,"John and Sarah are in a committed relationship, both working to support each other emotionally and financially. John has discovered Sarah has been struggling with a gambling problem and has been using their shared savings to fuel her addiction. Should John confront Sarah about her problem, potentially damaging their relationship, or hide his knowledge to maintain their relationship stability?",to_do,Confront Sarah,"John confronts Sarah about her gambling addiction. The confrontation escalates, leading to intense arguments and a bitter fallout. Sarah feels cornered and defensive, further straining their relationship. John feels betrayed and trust is broken, leading to a potential breakup.","['John', 'Sarah']","['Their family, friends', ""Sarah's support group or therapist""]","['honesty', 'self']","['empathy', 'professional integrity']","['John values honesty as he believes in open communication in a relationship.', 'awareness']","['They need to provide emotional support to John and Sarah during this difficult time.', 'They must maintain confidentiality while providing guidance and care.']","['honesty', 'self', 'empathy', 'professional integrity']","['direct', 'direct', 'indirect', 'indirect']","[nan, nan, 'Self-expression', 'Secular-rational']","['Fairness', nan, 'Care', 'Fairness']","['Truthfulness', nan, nan, 'Truthfulness']","['trust', nan, nan, 'trust']","['self-esteem', 'self-esteem', 'love and belonging', 'self-esteem']","and  are in a committed relationship, both working to support each other emotionally and financially",4,comitted_relationship
6595,Partners supporting each other in a relationship.,"John and Sarah are in a committed relationship, both working to support each other emotionally and financially. John has discovered Sarah has been struggling with a gambling problem and has been using their shared savings to fuel her addiction. Should John confront Sarah about her problem, potentially damaging their relationship, or hide his knowledge to maintain their relationship stability?",not_to_do,Hide his Knowledge,"John decides not to confront Sarah, but the gambling addiction worsens. Their shared savings are depleted, causing financial stress. The hidden truth creates a barrier between them, and their relationship suffers from the lack of honesty and trust.","['John', 'Sarah']","['Their family, friends', 'Their financial institution or debt collectors']","['sacrifice', 'self']","['sympathy', 'fairness']","['John might choose to endure the financial stress without confronting Sarah to maintain peace in their relationship.', 'control']","['They might need to provide emotional support if they become aware of the situation.', ""They must fairly enforce the payment of debts while respecting John and Sarah's circumstances.""]","['sacrifice', 'self', 'sympathy', 'fairness']","['direct', 'direct', 'indirect', 'indirect']","['Traditional', nan, 'Self-expression', 'Secular-rational']","['Loyalty', nan, 'Care', 'Fairness']","[nan, nan, nan, nan]","[nan, nan, nan, 'trust']","[nan, 'self-esteem', 'love and belonging', 'self-esteem']","and  are in a committed relationship, both working to support each other emotionally and financially",4,comitted_relationship
6631,going to the bathroom without flushing the toilet,You are a guest at a friend's house for a dinner party. You use the bathroom and realize that the toilet won't flush due to a plumbing issue. Should you inform your friend about the problem or keep quiet to avoid embarrassment?,to_do,Informing the friend,"You decide to inform your friend about the plumbing issue. However, this causes them much stress and interrupts the party. The entire night is spent dealing with the plumbing issue, and you become the center of unwanted attention.","['You', 'You', 'Your friend (the host)', 'Your friend (the host)']","['Other guests at the party', 'Other guests at the party', 'The plumber', 'The plumber']","['honesty', 'responsibility', 'understanding', 'cooperation']","['patience', 'empathy', 'professionalism', 'reliability']","['You decide to be truthful about the situation.', 'You take responsibility for the problem you discovered.', 'Your friend needs to understand the situation and act accordingly.', 'Your friend needs to cooperate with the plumber to fix the issue.']","['Other guests need to show patience while the issue is being resolved.', 'Other guests should empathize with your awkward situation.', 'The plumber should handle the situation professionally.', 'The plumber is expected to fix the issue reliably.']","['honesty', 'responsibility', 'understanding', 'cooperation', 'patience', 'empathy', 'professionalism', 'reliability']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","[nan, 'Traditional', nan, 'Self-expression', nan, 'Self-expression', nan, 'Survival']","['Fairness', 'Authority', 'Care', 'Fairness', nan, 'Care', 'Authority', nan]","['Truthfulness', nan, nan, nan, 'Patience', nan, nan, nan]","['trust', nan, 'trust', 'trust', 'anticipation', nan, nan, 'trust']","['self-esteem', 'self-esteem', 'self-actualization', 'love and belonging', nan, 'love and belonging', 'self-esteem', 'safety']",are a guest at a friend's house for a dinner party,40,event_special
6631,going to the bathroom without flushing the toilet,You are a guest at a friend's house for a dinner party. You use the bathroom and realize that the toilet won't flush due to a plumbing issue. Should you inform your friend about the problem or keep quiet to avoid embarrassment?,not_to_do,Keeping quiet,"Opting for silence, you return to the dinner party without mentioning the problem. Later in the evening, another guest discovers the issue and blames you for it. Your friend is disappointed by your lack of honesty, straining your relationship.","['You', 'You', 'The guest who discovers the issue', 'The guest who discovers the issue']","['Your friend (the host)', 'Your friend (the host)', 'Other guests at the party', 'Other guests at the party']","['fear of embarrassment', 'avoidance', 'surprise', 'blame']","['disappointment', 'trust issues', 'confusion', 'judgement']","['You keep quiet to avoid embarrassment.', 'You avoid taking responsibility for the problem.', 'The guest is surprised to discover the unflushed toilet.', 'The guest blames you for not informing about the issue.']","[""Your friend is disappointed that you didn't inform about the issue."", 'Your friend might have trust issues with you in the future.', 'Other guests are confused about who is responsible for the problem.', 'Other guests might judge you for not taking responsibility.']","['avoidance', 'disappointment', 'judgement']","['direct', 'indirect', 'indirect']","['Survival', nan, nan]","[nan, nan, 'Fairness']","[nan, nan, nan]","[nan, 'sadness', nan]","['safety', nan, 'self-esteem']",are a guest at a friend's house for a dinner party,40,event_special
6692,sponsoring someone else's education,"You are a successful entrepreneur who has decided to sponsor a child's education in a developing country. However, you discovered that the child's family is using the money for other purposes instead of education. Should you continue to sponsor the child despite knowing your money is not being used for its intended purpose?",to_do,Continue sponsoring,"Despite the family's misuse, you continue to sponsor the child. The family, however, takes advantage of your kindness, using the money for personal luxuries while the child remains uneducated. Your money is squandered and the child's future remains bleak.","['You (the entrepreneur)', 'The child', ""The child's family""]","['Local community', 'Other potential children you could sponsor']","['Responsibility', 'Hope', 'Accountability']","['Cooperation', 'Fairness']","['You made a commitment to help the child.', 'Your sponsorship gives the child a chance for a better future.', ""They should use the funds for the child's education.""]","['The community benefits from an educated child.', 'Other children also need sponsorship opportunities.']","['responsibility', 'hope', 'accountability', 'cooperation', 'fairness']","['direct', 'direct', 'direct', 'indirect', 'indirect']","['Traditional', nan, 'Secular-rational', 'Self-expression', 'Secular-rational']","['Authority', nan, 'Fairness', 'Fairness', 'Fairness']","[nan, nan, nan, nan, nan]","[nan, 'optimism', nan, 'trust', 'trust']","['self-esteem', nan, 'self-esteem', 'love and belonging', 'self-esteem']",are a successful entrepreneur who has decided to sponsor a child's education in a developing country,6,close_relationship
6692,sponsoring someone else's education,"You are a successful entrepreneur who has decided to sponsor a child's education in a developing country. However, you discovered that the child's family is using the money for other purposes instead of education. Should you continue to sponsor the child despite knowing your money is not being used for its intended purpose?",not_to_do,Stop sponsoring,"You cease sponsoring the child. The family falls into further financial hardship, unable to afford even basic necessities. The child's situation worsens, losing even the small benefit they had from your sponsorship. You're left with guilt and regret.","['You (the entrepreneur)', 'The child', ""The child's family""]","['Local community', 'Other potential children you could sponsor']","['Self', 'Survival', 'Consequences']","['Awareness', 'Equality']","['respect', 'The child needs to survive even without your sponsorship.', 'They must face the consequences of misusing the funds.']","['The community becomes aware of the consequences of misusing funds.', 'Other children should also get sponsorship opportunities.']","['self', 'survival', 'consequences', 'awareness', 'equality']","['direct', 'direct', 'direct', 'indirect', 'indirect']","[nan, 'Survival', nan, nan, 'Self-expression']","[nan, nan, nan, nan, 'Fairness']","[nan, 'Courage', nan, nan, nan]","[nan, nan, nan, nan, nan]","['self-esteem', 'physiological', 'safety', 'self-actualization', nan]",are a successful entrepreneur who has decided to sponsor a child's education in a developing country,6,close_relationship
